tick,stage,day,vclose_mm,hclose_mm,active,cracks_net_cum,cracks_inc,gp_dmax_m,ball_dmax_m,maxDhat,cells_fed,minE_ratio,resid_med_mm,resid_max_mm
1,1,5,-1.0320,0.1087,24935,2121,2121,6.53e-04,0.0480,0.0154,22,0.9846,0.594,1.735
2,1,10,-1.0934,0.0774,24935,3442,1321,6.60e-04,0.0559,0.0157,31,0.9843,0.643,2.057
3,1,15,-1.1137,-0.0207,24935,4628,1186,6.89e-04,0.0562,0.0209,31,0.9791,0.819,2.530
4,1,20,-1.1386,-0.0771,24935,4778,150,7.26e-04,0.0561,0.0210,32,0.9790,1.020,3.005
5,1,25,-1.1394,-0.0504,24935,6747,1969,8.60e-04,0.0649,0.0210,35,0.9790,1.349,3.525
6,1,30,-1.1561,-0.0628,24935,6792,45,1.01e-03,0.0648,0.0210,35,0.9790,1.587,4.093
7,2,35,0.0561,-3.4248,385156,31335,24543,3.82e-03,0.0687,0.0880,52,0.9120,3.591,15.375
8,3,40,0.3299,-4.3111,251992,35137,3802,3.37e-03,0.0687,0.0955,52,0.9045,5.137,13.529
9,4,45,0.3431,-5.4012,340050,43332,8195,3.47e-03,0.0687,0.0997,60,0.9003,4.714,14.062
10,5,50,0.1939,-5.5275,440029,46885,3553,3.64e-03,0.0688,0.1068,61,0.8932,5.220,14.820
11,6,55,0.1869,-6.6386,459308,54760,7875,3.97e-03,0.0690,0.1221,61,0.8779,5.201,16.175
12,6,60,0.1995,-7.2968,459308,60293,5533,4.22e-03,0.0693,0.1302,61,0.8698,5.488,17.153
13,6,65,0.0592,-7.3541,459308,64204,3911,4.45e-03,0.0695,0.1365,61,0.8635,5.948,18.096
14,6,70,-0.0730,-7.5541,459308,78942,14738,4.68e-03,0.0710,0.1717,61,0.8283,6.176,19.038
15,6,75,-0.0902,-8.0366,459308,84604,5662,4.91e-03,0.0725,0.1790,62,0.8210,6.330,19.948
16,6,80,-0.1658,-8.2794,459308,92887,8283,5.14e-03,0.0749,0.1874,62,0.8126,6.509,20.896
17,7,85,-8.4245,3.9522,33681,103769,10882,4.99e-03,0.0871,0.1887,62,0.8113,8.607,20.174
18,8,90,-4.8999,-3.3163,89876,105359,1590,5.11e-03,0.0948,0.1892,62,0.8108,7.263,20.714
19,9,95,-4.5550,-4.0747,36501,105617,258,5.09e-03,0.0948,0.1894,62,0.8106,6.980,20.643
20,10,100,-4.3584,-4.5583,21900,106553,936,5.14e-03,0.0948,0.1925,62,0.8075,6.968,20.812
21,11,105,-4.1125,-4.8833,20319,107196,643,5.14e-03,0.0947,0.1944,62,0.8056,7.096,20.795
22,11,110,-4.5506,-3.6735,20319,107468,272,5.08e-03,0.0947,0.1945,62,0.8055,7.189,20.583
23,11,115,-4.6263,-3.5217,20319,107472,4,5.10e-03,0.0947,0.1945,62,0.8055,6.967,20.649
24,11,120,-4.5396,-3.8749,20319,107474,2,5.11e-03,0.0946,0.1945,62,0.8055,6.961,20.690
25,11,125,-4.5276,-3.8911,20319,107476,2,5.11e-03,0.0946,0.1945,62,0.8055,6.963,20.681
26,11,130,-4.5517,-3.8205,20319,107479,3,5.11e-03,0.0946,0.1945,62,0.8055,6.962,20.686
